command_chain,count_read_event,count_write_event,count_sensitive_file_access_fails,count_socket_connect_event_successfully,count_socket_connect_event_fails,count_socket_create_event,count_file_modification_event_successfully,count_file_modification_event_fails,count_file_creation_event,count_link_event,count_symlink_event,count_dir_creation_event,count_dir_remove_event,count_mknod_create_event,count_rename_event,count_auth_event_successfully,count_auth_event_fails,count_passwd_change_event_successfully,count_passwd_change_event_fails,count_user_change_event_successfully,count_user_change_event_fails,count_do_not_update_atime,count_was_modified_time_changed,count_owner_changed,count_group_changed,count_suid_set,count_suid_cleared,count_sgid_set,count_sgid_cleared,count_sticky_set,count_sticky_cleared,count_user_write_added,count_user_write_removed,count_user_read_added,count_user_read_removed,count_user_exec_added,count_user_exec_removed,count_group_write_added,count_group_write_removed,count_group_exec_added,count_group_exec_removed,count_world_write_been_added,count_world_read_been_added,count_world_exec_been_added,count_external_ip,is_priviliged_port,count_sensitive_file,count_is_linked_to_sensitive_file,count_linked_file_SGID_or_SUID,count_atime_flag_been_set,count_modified_time_been_changed,is_current_dir_world_writable,is_target_dir_world_writable,is_in_memory_path,is_cross_user_link,is_dev_backdoor,is_fake_device,argv_has_network,argv_is_ip,argv_has_encoding,argv_is_net_tool,argv_is_sudo,argv_entropy,risk_score
python3 -> /bin/bash -c firefox & -> /bin/bash -c find ~/Pictures -name '*.png' -> /bin/bash -c cp ~/Downloads/notes.txt ~/Documents/ -> /bin/bash -c rm ~/Desktop/old_backup.zip -> /bin/bash -c pwd -> /bin/bash -c ls -a ~ -> /bin/bash -c code . -> /bin/bash -c hostname -I -> /bin/bash -c free -h -> /bin/bash -c ps aux -> /bin/bash -c grep 'error' log.txt -> /bin/bash -c mv ~/Documents/report.pdf ~/Desktop/ -> /bin/bash -c sudo mkdir /temp -> sudo -> /bin/bash -c find . -name 'readme.txt' -> /bin/bash -c cp /config.json ./ -> /bin/bash -c rm ~/Downloads/outdated_backup.tar -> /bin/bash -c uname -r -> /bin/bash -c ls -d */ -> /bin/bash -c ps aux --sort=-%mem | head -n 10 -> head -n 10 -> ps -> /bin/bash -c find /var/www -name 'index.html' -> /bin/bash -c mv oldfile.txt newfile.txt -> /bin/bash -c printenv -> /bin/bash -c tar -czvf project.tar.gz ~/project -> /bin/sh -c gzip -> gzip -> /bin/bash -c unzip archive.zip -> /bin/bash -c zip -r files.zip ~/files -> /bin/bash -c sudo apt update && sudo apt upgrade -y -> sudo apt update -> /bin/bash -c mv ~/Desktop/x ~/Downloads/ -> /bin/bash -c mkdir ~/backups -> /bin/bash -c find ~/Documents -name '*.txt' -> /bin/bash -c cp ~/Downloads/data.csv ./ -> /bin/bash -c rm ~/Desktop/old_version.tar -> /bin/bash -c ls -l -> /bin/bash -c du -sh ~/ -> /bin/bash -c nproc -> /bin/bash -c who -> /bin/bash -c grep 'success' /var/log/syslog -> /bin/bash -c tar -xzvf project.tar.gz -> gzip -d -> /bin/bash -c chmod 600 file.txt -> /bin/bash -c rm -r ~/old_folder -> /bin/bash -c find / -name '*config*' -> /bin/bash -c ln -s example.txt symlink_example.txt -> /bin/bash -c ss -tuln -> /bin/bash -c rm -rf /tmp/* -> /bin/bash -c du -sh . -> /bin/bash -c tar -czvf backup_project.tar.gz ~/project -> /bin/bash -c dpkg --get-selections -> /bin/bash -c wc -l large_file.txt -> /bin/bash -c ps aux --sort=-%mem | head -n 5 -> head -n 5 -> /bin/bash -c sudo chown user1 file.txt -> /bin/bash -c mv ~/Documents/old_folder ~/Downloads/ -> /bin/bash -c date '+%Y-%m-%d %H:%M:%S' -> /bin/bash -c uptime -> /bin/bash -c mkdir ~/Documents/projects -> /bin/bash -c mkdir ~/Documents/archive -> /bin/bash -c ls ~/Downloads -> /bin/bash -c find / -name '*backup*' -> /bin/bash -c du -sh ~/Downloads -> /bin/bash -c chmod 666 data.txt -> /bin/bash -c tar -czvf work_backup.tar.gz ~/work -> /bin/bash -c grep 'error' /var/log/* -> /bin/bash -c df -h -> /bin/bash -c zip -r project.zip ~/project_folder -> /bin/bash -c mv ~/Desktop/report.pdf ~/Documents/ -> /bin/bash -c touch ~/Documents/notes.txt -> /bin/bash -c cat message.txt -> /bin/bash -c tail -n 10 error.log -> /bin/bash -c rm old_report.txt -> /bin/bash -c tar -czvf home_backup.tar.gz ~/ -> /bin/bash -c sudo apt install htop -> /bin/bash -c rm /var/log/*.log -> /bin/bash -c pstree -> /bin/bash -c touch new_file.txt -> /bin/bash -c find . -mtime +30 -> /bin/bash -c ls -d /home/*/ -> /bin/bash -c date '+%Y-%m-%d' -> /bin/bash -c grep 'warning' system.log -> /bin/bash -c tail -n 100 /var/log/syslog -> /bin/bash -c sudo systemctl start apache2 -> /bin/bash -c sudo systemctl stop apache2 -> /bin/bash -c sudo systemctl restart apache2 -> /bin/bash -c touch ~/Documents/test_file.txt -> /bin/bash -c du -sh * -> /bin/bash -c ls -l my_file.txt -> /bin/bash -c find / -type f -exec du -h {} + | sort -rh | head -n 10 -> find / -type f -exec du -h {} + -> du -h /sys/kernel/warn_count /sys/kernel/notes /sys/kernel/mm/page_idle/bitmap /sys/kernel/mm/lru_gen/enabled /sys/kernel/mm/lru_gen/min_ttl_ms /sys/kernel/mm/hugepages/hugepages-2048kB/free_hugepages /sys/kernel/mm/hugepages/hugepages-2048kB/resv_hugepages /sys/kernel/mm/hugepages/hugepages-2048kB/surplus_hugepages /sys/kernel/mm/hugepages/hugepages-2048kB/nr_hugepages_mempolic /sys/kernel/mm/hugepages/hugepages-2048kB/nr_hugepages -> du -h /sys/kernel/slab/kmalloc-rnd-06-64/validate /sys/kernel/slab/kmalloc-rnd-06-64/skip_kfence /sys/kernel/slab/kmalloc-rnd-06-64/min_partial /sys/kernel/slab/kmalloc-rnd-06-64/poison /sys/kernel/slab/kmalloc-rnd-06-64/red_zone /sys/kernel/slab/kmalloc-rnd-06-64/slabs /sys/kernel/slab/kmalloc-rnd-06-64/destroy_by_rcu /sys/kernel/slab/kmalloc-rnd-06-64/usersize /sys/kernel/slab/kmalloc-rnd-06-64/sanity_checks /sys/kernel/slab/kmalloc-rnd-06-64/align -> du -h /sys/kernel/slab/kmalloc-rcl-512/usersize /sys/kernel/slab/kmalloc-rcl-512/sanity_checks /sys/kernel/slab/kmalloc-rcl-512/align /sys/kernel/slab/kmalloc-rcl-512/aliases /sys/kernel/slab/kmalloc-rcl-512/store_user /sys/kernel/slab/kmalloc-rcl-512/trace /sys/kernel/slab/kmalloc-rcl-512/reclaim_account /sys/kernel/slab/kmalloc-rcl-512/order /sys/kernel/slab/kmalloc-rcl-512/object_size /sys/kernel/slab/kmalloc-rcl-512/shrink -> du -h /sys/kernel/slab/kmalloc-rnd-01-192/sanity_checks /sys/kernel/slab/kmalloc-rnd-01-192/align /sys/kernel/slab/kmalloc-rnd-01-192/aliases /sys/kernel/slab/kmalloc-rnd-01-192/store_user /sys/kernel/slab/kmalloc-rnd-01-192/trace /sys/kernel/slab/kmalloc-rnd-01-192/reclaim_account /sys/kernel/slab/kmalloc-rnd-01-192/order /sys/kernel/slab/kmalloc-rnd-01-192/object_size /sys/kernel/slab/kmalloc-rnd-01-192/shrink /sys/kernel/slab/kmalloc-rnd-01-192/hwcache_align -> du -h /sys/devices/platform/PNP0C14:00/wmi_bus/wmi_bus-PNP0C14:00/86C /sys/devices/platform/PNP0C14:00/wmi_bus/wmi_bus-PNP0C14:00/86C /sys/devices/platform/PNP0C14:00/wmi_bus/wmi_bus-PNP0C14:00/86C /sys/devices/platform/PNP0C14:00/wmi_bus/wmi_bus-PNP0C14:00/86C /sys/devices/platform/PNP0C14:00/wmi_bus/wmi_bus-PNP0C14:00/86C /sys/devices/platform/PNP0C14:00/wmi_bus/wmi_bus-PNP0C14:00/86C /sys/devices/platform/PNP0C14:00/wmi_bus/wmi_bus-PNP0C14:00/86C /sys/devices/platform/PNP0C14:00/wmi_bus/wmi_bus-PNP0C14:00/86C /sys/devices/platform/PNP0C14:00/wmi_bus/wmi_bus-PNP0C14:00/86C /sys/devices/platform/PNP0C14:00/wmi_bus/wmi_bus-PNP0C14:00/86C -> du -h /sys/devices/platform/serial8250/serial8250:0/serial8250:0.10/t /sys/devices/platform/serial8250/serial8250:0/serial8250:0.10/t /sys/devices/platform/serial8250/serial8250:0/serial8250:0.10/t /sys/devices/platform/serial8250/serial8250:0/serial8250:0.10/t /sys/devices/platform/serial8250/serial8250:0/serial8250:0.10/t /sys/devices/platform/serial8250/serial8250:0/serial8250:0.10/t /sys/devices/platform/serial8250/serial8250:0/serial8250:0.10/t /sys/devices/platform/serial8250/serial8250:0/serial8250:0.10/t /sys/devices/platform/serial8250/serial8250:0/serial8250:0.10/t /sys/devices/platform/serial8250/serial8250:0/serial8250:0.10/t -> du -h /sys/devices/pci0000:00/0000:00:17.0/ata3/host2/target2:0:0/2:0 /sys/devices/pci0000:00/0000:00:17.0/ata3/host2/target2:0:0/2:0 /sys/devices/pci0000:00/0000:00:17.0/ata3/host2/target2:0:0/2:0 /sys/devices/pci0000:00/0000:00:17.0/ata3/host2/target2:0:0/2:0 /sys/devices/pci0000:00/0000:00:17.0/ata3/host2/target2:0:0/2:0 /sys/devices/pci0000:00/0000:00:17.0/ata3/host2/target2:0:0/2:0 /sys/devices/pci0000:00/0000:00:17.0/ata3/host2/target2:0:0/2:0 /sys/devices/pci0000:00/0000:00:17.0/ata3/host2/target2:0:0/2:0 /sys/devices/pci0000:00/0000:00:17.0/ata3/host2/target2:0:0/2:0 /sys/devices/pci0000:00/0000:00:17.0/ata3/host2/target2:0:0/2:0 -> du -h /sys/devices/pci0000:00/0000:00:1f.3/hdaudioC0D0/widgets/21/pin /sys/devices/pci0000:00/0000:00:1f.3/hdaudioC0D0/widgets/21/amp /sys/devices/pci0000:00/0000:00:1f.3/hdaudioC0D0/widgets/21/con /sys/devices/pci0000:00/0000:00:1f.3/hdaudioC0D0/widgets/21/pin /sys/devices/pci0000:00/0000:00:1f.3/hdaudioC0D0/widgets/21/cap /sys/devices/pci0000:00/0000:00:1f.3/hdaudioC0D0/widgets/21/pow /sys/devices/pci0000:00/0000:00:1f.3/hdaudioC0D0/widgets/21/pcm /sys/devices/pci0000:00/0000:00:1f.3/hdaudioC0D0/widgets/11/pcm /sys/devices/pci0000:00/0000:00:1f.3/hdaudioC0D0/widgets/11/amp /sys/devices/pci0000:00/0000:00:1f.3/hdaudioC0D0/widgets/11/pin -> du -h /sys/devices/pci0000:00/0000:00:14.0/usb1/1-5/1-5:1.0/iad_bFunc /sys/devices/pci0000:00/0000:00:14.0/usb1/1-5/1-5:1.0/bInterfac /sys/devices/pci0000:00/0000:00:14.0/usb1/1-5/1-5:1.0/video4lin /sys/devices/pci0000:00/0000:00:14.0/usb1/1-5/1-5:1.0/video4lin /sys/devices/pci0000:00/0000:00:14.0/usb1/1-5/1-5:1.0/video4lin /sys/devices/pci0000:00/0000:00:14.0/usb1/1-5/1-5:1.0/video4lin /sys/devices/pci0000:00/0000:00:14.0/usb1/1-5/1-5:1.0/video4lin /sys/devices/pci0000:00/0000:00:14.0/usb1/1-5/1-5:1.0/video4lin /sys/devices/pci0000:00/0000:00:14.0/usb1/1-5/1-5:1.0/video4lin /sys/devices/pci0000:00/0000:00:14.0/usb1/1-5/1-5:1.0/video4lin -> du -h /sys/devices/pci0000:00/0000:00:1c.2/0000:02:00.0/subsystem_dev /sys/devices/pci0000:00/0000:00:1c.2/0000:02:00.0/dma_mask_bits /sys/devices/pci0000:00/0000:00:1c.2/0000:02:00.0/vendor /sys/devices/pci0000:00/0000:00:1c.2/0000:02:00.0/local_cpus /sys/devices/pci0000:00/0000:00:1c.2/0000:02:00.0/power/runtime /sys/devices/pci0000:00/0000:00:1c.2/0000:02:00.0/power/wakeup /sys/devices/pci0000:00/0000:00:1c.2/0000:02:00.0/power/wakeup_ /sys/devices/pci0000:00/0000:00:1c.2/0000:02:00.0/power/wakeup_ /sys/devices/pci0000:00/0000:00:1c.2/0000:02:00.0/power/wakeup_ /sys/devices/pci0000:00/0000:00:1c.2/0000:02:00.0/power/runtime -> du -h /sys/devices/virtual/thermal/thermal_zone2/trip_point_4_temp /sys/devices/virtual/thermal/thermal_zone2/trip_point_2_type /sys/devices/virtual/thermal/thermal_zone2/mode /sys/devices/virtual/thermal/thermal_zone2/power/runtime_active /sys/devices/virtual/thermal/thermal_zone2/power/runtime_active /sys/devices/virtual/thermal/thermal_zone2/power/runtime_usage /sys/devices/virtual/thermal/thermal_zone2/power/runtime_status /sys/devices/virtual/thermal/thermal_zone2/power/autosuspend_de /sys/devices/virtual/thermal/thermal_zone2/power/async /sys/devices/virtual/thermal/thermal_zone2/power/runtime_suspen -> du -h /sys/devices/virtual/block/loop19/queue/rotational /sys/devices/virtual/block/loop19/queue/discard_max_bytes /sys/devices/virtual/block/loop19/queue/add_random /sys/devices/virtual/block/loop19/queue/discard_max_hw_bytes /sys/devices/virtual/block/loop19/queue/optimal_io_size /sys/devices/virtual/block/loop19/queue/chunk_sectors /sys/devices/virtual/block/loop19/queue/read_ahead_kb /sys/devices/virtual/block/loop19/queue/max_discard_segments /sys/devices/virtual/block/loop19/queue/write_zeroes_max_bytes /sys/devices/virtual/block/loop19/queue/nomerges -> du -h /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0C0F:06/power/runtime_u /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0C0F:06/power/runtime_s /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0C0F:06/power/autosuspe /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0C0F:06/power/async /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0C0F:06/power/runtime_s /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0C0F:06/power/runtime_e /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0C0F:06/power/control /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0C0F:06/uid /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0C0F:06/hid /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0C0F:06/path -> du -h /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0A08:00/device:10/PNP01 /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0A08:00/device:10/PNP01 /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0A08:00/device:10/PNP01 /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0A08:00/device:10/PNP01 /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0A08:00/device:10/PNP0C /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0A08:00/device:10/PNP0C /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0A08:00/device:10/PNP0C /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0A08:00/device:10/PNP0C /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0A08:00/device:10/PNP0C /sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0A08:00/device:10/PNP0C -> du -h /sys/devices/LNXSYSTM:00/LNXPWRBN:00/input/input3/id/bustype /sys/devices/LNXSYSTM:00/LNXPWRBN:00/input/input3/id/vendor /sys/devices/LNXSYSTM:00/LNXPWRBN:00/input/input3/id/product /sys/devices/LNXSYSTM:00/LNXPWRBN:00/input/input3/id/version /sys/devices/LNXSYSTM:00/LNXPWRBN:00/input/input3/event3/uevent /sys/devices/LNXSYSTM:00/LNXPWRBN:00/input/input3/event3/power/ /sys/devices/LNXSYSTM:00/LNXPWRBN:00/input/input3/event3/power/ /sys/devices/LNXSYSTM:00/LNXPWRBN:00/input/input3/event3/power/ /sys/devices/LNXSYSTM:00/LNXPWRBN:00/input/input3/event3/power/ /sys/devices/LNXSYSTM:00/LNXPWRBN:00/input/input3/event3/power/ -> du -h /sys/module/videobuf2_vmalloc/sections/__dyndbg /sys/module/videobuf2_vmalloc/sections/.gnu.linkonce.this_modul /sys/module/videobuf2_vmalloc/sections/.symtab /sys/module/videobuf2_vmalloc/sections/.rodata /sys/module/videobuf2_vmalloc/sections/.note.gnu.build-id /sys/module/videobuf2_vmalloc/sections/.text /sys/module/videobuf2_vmalloc/sections/.call_sites /sys/module/videobuf2_vmalloc/sections/.data /sys/module/videobuf2_vmalloc/sections/.smp_locks /sys/module/videobuf2_vmalloc/sections/__bug_table -> du -h /sys/module/vboxdrv/sections/.return_sites /sys/module/vboxdrv/sections/.gnu.linkonce.this_module /sys/module/vboxdrv/sections/.symtab /sys/module/vboxdrv/sections/.rodata /sys/module/vboxdrv/sections/.init.text /sys/module/vboxdrv/sections/.note.gnu.build-id /sys/module/vboxdrv/sections/.text /sys/module/vboxdrv/sections/.fixup /sys/module/vboxdrv/sections/.init.data /sys/module/vboxdrv/sections/.call_sites -> du -h /usr/share/bash-completion/completions/mkfs.bfs /usr/share/bash-completion/completions/nsenter /usr/share/bash-completion/completions/setterm /usr/share/bash-completion/completions/chmem /usr/share/bash-completion/completions/unshare /usr/share/bash-completion/completions/mkfs.minix /usr/share/bash-completion/completions/renice /usr/share/bash-completion/completions/su /usr/share/bash-completion/completions/scriptlive /usr/share/bash-completion/completions/ipcmk -> du -h /usr/lib/python3.12/test/typinganndata/ann_module5.py /usr/lib/python3.12/test/typinganndata/ann_module4.py /usr/lib/python3.12/io.py /usr/lib/python3.12/locale.py /usr/lib/python3.12/sched.py /usr/lib/python3.12/heapq.py /usr/lib/python3.12/copyreg.py /usr/lib/python3.12/selectors.py /usr/lib/python3.12/zipfile/_path/__init__.py /usr/lib/python3.12/zipfile/_path/__pycache__/glob.cpython-312. -> du -h /proc/3545/mem /proc/3545/mounts /proc/3545/mountinfo /proc/3545/mountstats /proc/3545/clear_refs /proc/3545/smaps /proc/3545/smaps_rollup /proc/3545/pagemap /proc/3545/attr/current /proc/3545/attr/prev -> sort -rh -> /bin/bash -c find ~/Pictures -name '*.jpg' -> /bin/bash -c cat config.txt -> /bin/bash -c ls -lt -> /bin/bash -c grep -r 'error' . -> /bin/bash -c hostname -> /bin/bash -c top -> /bin/bash -c ps aux | wc -l -> wc -l -> /bin/bash -c snap list -> /bin/bash -c rm *.bak -> /bin/bash -c mkdir temp_backup -> /bin/bash -c uptime -p -> /bin/bash -c cd ~/Downloads -> /bin/bash -c history -> /bin/bash -c sudo systemctl start mysql -> /bin/bash -c sudo systemctl stop mysql -> /bin/bash -c sudo systemctl status apache2 -> /bin/bash -c grep -r 'backup' . -> /bin/bash -c tree -> /bin/bash -c mv old_name.txt new_name.txt -> /bin/bash -c sudo chown -R user1 data/ -> /bin/bash -c grep 'Linux' readme.txt -> /bin/bash -c clear -> /bin/bash -c tail -n 50 /var/log/syslog -> /bin/bash -c wc -l document.txt -> /bin/bash -c du -sh / -> /bin/bash -c ln file.txt file_link.txt -> /bin/bash -c grep 'error' *.txt -> /bin/bash -c uname -v -> /bin/bash -c mkdir ~/backup -> /bin/bash -c sensors | grep 'Core 0' -> bash -> grep Core 0 -> /bin/bash -c cd ~ -> /bin/bash -c tar -czvf photos_backup.tar.gz ~/photos -> /bin/bash -c tar -czvf documents_backup.tar.gz ~/documents -> /bin/bash -c find . -mtime -7 -> /bin/bash -c docker ps -> /bin/bash -c ps aux --sort=-%cpu | head -n 10 -> /bin/bash -c sudo apt install curl -> /bin/bash -c chmod 444 data.txt -> /bin/bash -c w -> /bin/bash -c date -> /bin/bash -c chmod +x example.sh -> /bin/bash -c ln -s example.txt link_example.txt -> /bin/bash -c mv ~/Downloads/data.txt ~/Documents/ -> /bin/bash -c find . -type f -empty -delete -> /bin/bash -c wget http://example.com/file.txt -> /bin/bash -c df -h / -> /bin/bash -c zip -r archive.zip * -> /bin/bash -c systemctl list-units --type=service -> /bin/bash -c grep -r 'config' /etc/ -> /bin/bash -c cp important.txt important_backup.txt -> /bin/bash -c ls | wc -l -> ls -> /bin/bash -c sudo chown -R user1 project/ -> /bin/bash -c du -ah / | sort -rh | head -n 10 -> du -ah / -> /bin/bash -c mkdir ~/logs -> /bin/bash -c find . -name '*.log' -> /bin/bash -c grep 'error' app.log -> /bin/bash -c sudo reboot -> /bin/bash -c ip link show -> /bin/bash -c sudo mkdir /var/temp -> /bin/bash -c firefox 'https://example.com' & -> /bin/bash -c sudo hostnamectl set-hostname new-hostname -> /bin/bash -c find . -mtime -30 -> /bin/bash -c sudo systemctl start nginx -> /bin/bash -c sudo systemctl stop nginx -> /bin/bash -c ls ~/documents | wc -l -> ls /root/documents -> /bin/bash -c find / -name '*.bak' -exec rm {} + -> /bin/bash -c ls -l log.txt -> /bin/bash -c find /home -type f -> /bin/bash -c python3 -m http.server 8000 -> /bin/bash -c tar -cvf documents_backup.tar ~/documents -> /bin/bash -c find . -name '*.txt' -> /bin/bash -c head -n 20 logfile.log -> /bin/bash -c du -ah . | sort -rh | head -n 10 -> du -ah . -> /bin/bash -c sudo systemctl status ssh -> /bin/bash -c sudo systemctl stop ssh -> /bin/bash -c free -m -> /bin/bash -c sudo apt install nginx -> /bin/bash -c sudo systemctl restart nginx -> /bin/bash -c rm -rf old_files -> /bin/bash -c ls -l example.sh -> /bin/bash -c chmod 755 backup -> /bin/bash -c mkdir ~/projects -> /bin/bash -c find / -type f -empty -delete,87,1,3,541,0,550,24,0,8,12,2,15,14,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,2,22,2,22,2,6,0,12,1,4,0,1,1,0,6,620,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.32538682083584,8.222825538434812
systemd -> udisksd -> pool-tracker-mi -> cupsd -> snapd -> systemd-timesyn -> systemd-logind,106,2,0,1,0,4,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,6,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.397776944765114
udisksd,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.039220713153281295
pool,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.019802627296179712
systemd -> pool-tracker-mi,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.43178241642553783
/bin/bash -c firefox &,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9646249865489063,2.1379831123066038
bash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
/bin/bash -c find ~/Pictures -name '*.png',0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1425078942414393,3.2414688278785775
/bin/bash -c cp ~/Downloads/notes.txt ~/Documents/,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.891665562376658,3.2365519881823057
/bin/bash -c rm ~/Desktop/old_backup.zip,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.096351119480036,3.2405659074363404
